id,x,y
1,300.0,300.0
4,300.0,300.0
5,300.0,300.0
6,300.0,300.0
7,300.0,300.0
8,300.0,300.0
10,300.0,300.0
13,300.0,300.0
14,300.0,300.0
15,300.0,300.0
16,300.0,300.0
17,300.0,300.0
18,300.0,300.0
19,300.0,300.0
20,300.0,300.0
23,300.0,300.0
24,300.0,300.0
25,300.0,300.0
26,300.0,300.0
28,300.0,300.0
31,300.0,300.0
32,300.0,300.0
33,300.0,300.0
34,300.0,300.0
36,300.0,300.0
37,300.0,300.0
38,300.0,300.0
39,300.0,300.0
40,300.0,300.0
41,300.0,300.0
44,300.0,300.0
48,52.4796992,-1.9026911
49,,
50,11.5024338,17.7578122
52,39.9527237,-75.1635262
53,51.5073219,-0.1276474
54,-25.7459374,28.1879444
55,,
56,300.0,300.0
57,14.5007016,120.9915488
61,300.0,300.0
62,-7.1280388,52.7448393
63,300.0,300.0
64,300.0,300.0
65,300.0,300.0
66,36.0726355,-79.7919754
67,300.0,300.0
71,,
73,41.4283035,-82.15437852366313
74,22.3511148,78.6677428
76,13.1500331,-59.5250305
77,33.8347516,-117.911732
78,9.0643305,7.4892974
79,39.7837304,-100.4458825
80,-28.8166236,24.991639
81,-23.5506507,-46.6333824
82,33.8081983,-117.9180175
83,,
85,300.0,300.0
86,300.0,300.0
89,300.0,300.0
91,45.452798,-62.7905136
92,51.0534234,-114.0625892
93,52.4796992,-1.9026911
95,37.7790262,-122.4199061
96,300.0,300.0
97,36.1622296,-86.7743531
98,37.2333253,-121.6846349
100,54.7023545,-3.2765753
102,,
104,33.7804491,-87.2767248
105,-24.7761086,134.755
107,35.6729639,-79.0392919
109,300.0,300.0
110,51.1531439,6.7297662
112,37.496904,-122.3330573
113,35.6729639,-79.0392919
114,-3.3740499,37.840045
117,300.0,300.0
118,,
119,300.0,300.0
120,32.701938999999996,-97.10562379033699
121,39.7183962,-82.9868489
126,300.0,300.0
128,34.2751052,-77.8818627
129,4.7064352,73.3287853
130,42.9956397,-71.4547891
131,34.2257282,-77.9447107
132,300.0,300.0
133,34.2751052,-77.8818627
134,300.0,300.0
135,43.7283874,-79.34914879325001
136,,
137,35.2270869,-80.8431268
138,30.4459596,-91.18738
139,39.6419219,-77.7202641
141,51.8333313,-2.1666674
143,300.0,300.0
144,54.7023545,-3.2765753
145,-1.2832533,36.8172449
146,,
149,,
151,46.7985624,8.2319736
153,,
157,,
158,,
159,,
160,300.0,300.0
161,,
162,300.0,300.0
163,50.6402809,4.6667145
164,46.7985624,8.2319736
168,300.0,300.0
170,300.0,300.0
173,43.91768,-78.862953
174,44.7748748,-117.8343848
175,300.0,300.0
176,300.0,300.0
178,39.7837304,-100.4458825
180,,
182,,
183,44.1935658,-76.440109
184,,
185,33.86428,-118.39591
187,300.0,300.0
190,300.0,300.0
191,300.0,300.0
193,,
194,,
195,300.0,300.0
196,,
197,40.9699889,-77.7278831
198,40.7596198,-111.8867975
199,37.4443293,-122.1598465
201,300.0,300.0
203,,
204,26.916194,75.820349
205,17.38878595,78.46106473453146
208,28.7099337,-100.4938137
209,12.9791198,77.5912997
210,300.0,300.0
212,-2.4833826,117.8902853
213,,
215,34.5708167,-105.993007
216,300.0,300.0
218,300.0,300.0
219,18.9387711,72.8353355
220,7.5554942,80.7137847
221,,
222,300.0,300.0
225,40.5887558,-75.564283
226,61.0666922,-107.9917071
229,300.0,300.0
231,10.5256264,76.2132542
232,28.579117,-81.4867083
235,22.3511148,78.6677428
237,,
240,31.5313113,34.8667654
241,,
242,45.3842702,-73.995482
243,42.6384261,12.674297
244,40.7127281,-74.0060152
245,43.6534817,-79.3839347
246,300.0,300.0
247,32.2990384,-90.1847691
248,,
249,300.0,300.0
251,29.9499323,-90.0701156
252,52.2928116,-3.73893
253,300.0,300.0
254,,
256,42.3750997,-71.1056157
258,34.395342,-111.7632755
260,18.9387711,72.8353355
261,300.0,300.0
262,52.3727598,4.8936041
263,51.5613683,-1.7856853
264,300.0,300.0
265,,
266,300.0,300.0
267,44.122099,-72.542038
268,35.6729639,-79.0392919
269,300.0,300.0
270,25.1446897,67.1847767315734
271,,
272,,
273,40.385549,-105.04436132094955
274,,
276,300.0,300.0
277,,
279,300.0,300.0
280,61.0666922,-107.9917071
281,,
283,38.0464066,-84.4970393
285,300.0,300.0
287,39.7837304,-100.4458825
289,52.3744779,9.7385532
290,300.0,300.0
291,300.0,300.0
293,23.1143951,-82.428179
294,35.4993031,-80.8486846
296,300.0,300.0
297,300.0,300.0
298,40.7127281,-74.0060152
299,-26.2124639,28.2617471
301,300.0,300.0
302,300.0,300.0
303,300.0,300.0
307,,
309,53.50652485,-2.3374401422576687
310,42.3602534,-71.0582912
312,300.0,300.0
313,300.0,300.0
314,28.421384099999997,-81.58265615
315,300.0,300.0
316,39.7837304,-100.4458825
318,300.0,300.0
320,300.0,300.0
321,300.0,300.0
322,51.5073219,-0.1276474
327,300.0,300.0
328,300.0,300.0
329,,
330,300.0,300.0
331,,
332,8.559559,-81.1308434
334,300.0,300.0
335,,
336,300.0,300.0
337,43.663461999999996,-79.39775965337452
338,300.0,300.0
340,300.0,300.0
341,300.0,300.0
344,51.5073219,-0.1276474
345,,
346,36.7014631,-118.7559974
347,300.0,300.0
348,300.0,300.0
349,300.0,300.0
352,300.0,300.0
353,40.23621645,-74.71599401297959
354,39.3262345,-4.8380649
355,300.0,300.0
356,,
358,300.0,300.0
360,300.0,300.0
361,,
363,39.7837304,-100.4458825
364,300.0,300.0
365,300.0,300.0
368,34.9248667,-81.0250784
370,32.977839,-111.517624
371,30.8214723,-98.7907686
372,300.0,300.0
375,300.0,300.0
380,33.4484367,-112.0741417
381,46.0499803,14.5068602
383,41.6500201,-72.7342163
384,47.2495798,-122.4398746
386,300.0,300.0
389,300.0,300.0
390,40.23621645,-74.71599401297959
393,,
394,33.3062223,-111.8413317
396,38.7251776,-105.6077167
397,300.0,300.0
398,300.0,300.0
401,300.0,300.0
402,31.8160381,-99.5120986
404,38.4087993,-121.3716178
406,31.8160381,-99.5120986
407,300.0,300.0
409,-16.5682419,35.1484322
410,30.2711286,-97.7436995
412,37.8044557,-122.2713563
413,300.0,300.0
415,300.0,300.0
418,35.0841034,-106.6509851
419,300.0,300.0
420,-34.6075682,-58.4370894
421,300.0,300.0
423,300.0,300.0
424,,
426,37.7790262,-122.4199061
427,43.9792797,-120.737257
429,26.1908241,-97.6959794
432,42.8867166,-78.8783922
435,300.0,300.0
436,300.0,300.0
437,300.0,300.0
438,36.1672559,-115.1485163
440,300.0,300.0
442,300.0,300.0
443,300.0,300.0
444,35.6828387,139.7594549
445,300.0,300.0
446,36.7014631,-118.7559974
447,36.7014631,-118.7559974
448,,
450,300.0,300.0
451,300.0,300.0
452,52.1343369,4.6561357
453,300.0,300.0
454,41.9481283,-87.65636056216721
455,300.0,300.0
456,300.0,300.0
457,61.0666922,-107.9917071
459,52.7954791,-0.5402402866174321
461,39.7837304,-100.4458825
462,36.7014631,-118.7559974
463,300.0,300.0
465,36.7014631,-118.7559974
466,40.7127281,-74.0060152
467,48.0577971,-1.5075593
468,,
469,,
470,,
471,27.7567667,-81.4639835
472,18.4357733,-69.9699468
474,300.0,300.0
475,,
476,1.3104654,103.9235132
477,36.7014631,-118.7559974
478,43.6534817,-79.3839347
479,300.0,300.0
480,,
481,34.4826899,-118.6307097
482,60.1674098,24.9425769
483,55.760176,-4.179078
484,300.0,300.0
485,,
486,50.8208098,-0.1434461
487,51.2474823,0.7105077
489,300.0,300.0
490,300.0,300.0
492,,
493,,
495,33.9773305,-90.9123277
496,300.0,300.0
498,300.0,300.0
499,300.0,300.0
501,300.0,300.0
502,300.0,300.0
503,300.0,300.0
504,,
506,34.9823018,33.1451285
509,35.1490215,-90.0516285
512,300.0,300.0
513,52.2326368,21.0067376
514,42.1045345,-82.4221059
516,300.0,300.0
517,40.7127281,-74.0060152
518,300.0,300.0
519,300.0,300.0
520,30.3308401,71.247499
521,,
522,300.0,300.0
523,300.0,300.0
524,-22.90556,-47.06083
526,300.0,300.0
527,40.8078786,-73.9454154
528,40.7127281,-74.0060152
530,300.0,300.0
531,300.0,300.0
533,300.0,300.0
535,300.0,300.0
536,38.8949855,-77.0365708
538,34.1816482,-118.3258554
540,40.7127281,-74.0060152
542,300.0,300.0
543,300.0,300.0
544,,
546,300.0,300.0
550,47.6579425,-117.4212265
551,39.7837304,-100.4458825
552,35.2270869,-80.8431268
556,47.65808975,-117.42845942605021
558,300.0,300.0
559,300.0,300.0
560,31.778345,35.2250786
561,41.2617481,-75.8968635
563,43.0349931,-87.922497
