FIPS,State,County,Inland
01003,Alabama,Baldwin,
01097,Alabama,Mobile,
02013,Alaska,Aleutians East,
02016,Alaska,Aleutians West,
02020,Alaska,Anchorage,
02050,Alaska,Bethel,
02060,Alaska,Bristol Bay,
02070,Alaska,Dillingham,
02100,Alaska,Haines,
02105,Alaska,Hoonah-Angoon Census Area,
02110,Alaska,Juneau,
02122,Alaska,Kenai Peninsula,
02130,Alaska,Ketchikan Gateway,
02150,Alaska,Kodiak Island,
02164,Alaska,Lake and Peninsula,
02170,Alaska,Matanuska-Susitna,
02180,Alaska,Nome,
02185,Alaska,North Slope,
02188,Alaska,Northwest Arctic,
02195,Alaska,Petersburg Census Area,
02198,Alaska,Prince of WalesHyder Census Area,
02220,Alaska,Sitka,
02261,Alaska,Valdez-Cordova,
02270,Alaska,Wade Hampton,
02275,Alaska,Wrangell City and Borough,
02282,Alaska,Yakutat Borough,
02195,Alaska,Wrangell City and Borough Census Area,
06001,California,Alameda,
06013,California,Contra Costa,
06015,California,Del Norte,
06023,California,Humboldt,
06037,California,Los Angeles,
06041,California,Marin,
06045,California,Mendocino,
06053,California,Monterey,
06055,California,Napa,*
06059,California,Orange,
06067,California,Sacramento,*
06073,California,San Diego,
06075,California,San Francisco,
06077,California,San Joaquin,*
06079,California,San Luis Obispo,
06081,California,San Mateo,
06083,California,Santa Barbara,
06085,California,Santa Clara,
06087,California,Santa Cruz,
06095,California,Solano,
06097,California,Sonoma,
06111,California,Ventura,
06113,California,Yolo,*
09001,Connecticut,Fairfield,
09007,Connecticut,Middlesex,
09009,Connecticut,New Haven,
09011,Connecticut,New London,
10001,Delaware,Kent,
10003,Delaware,New Castle,
10005,Delaware,Sussex,
12005,Florida,Bay,
12009,Florida,Brevard,
12011,Florida,Broward,
12015,Florida,Charlotte,
12017,Florida,Citrus,
12019,Florida,Clay,*
12021,Florida,Collier,
12029,Florida,Dixie,
12031,Florida,Duval,
12033,Florida,Escambia,
12035,Florida,Flagler,
12037,Florida,Franklin,
12045,Florida,Gulf,
12053,Florida,Hernando,
12057,Florida,Hillsborough,
12061,Florida,Indian River,
12065,Florida,Jefferson,
12069,Florida,Lake,*
12071,Florida,Lee,
12073,Florida,Leon,*
12075,Florida,Levy,
12077,Florida,Liberty,*
12081,Florida,Manatee,
12085,Florida,Martin,
12086,Florida,Miami-Dade,
12087,Florida,Monroe,
12089,Florida,Nassau,
12091,Florida,Okaloosa,
12095,Florida,Orange,*
12099,Florida,Palm Beach,
12101,Florida,Pasco,
12103,Florida,Pinellas,
12105,Florida,Polk,*
12107,Florida,Putnam,*
12109,Florida,St. Johns,
12111,Florida,St. Lucie,
12113,Florida,Santa Rosa,
12115,Florida,Sarasota,
12117,Florida,Seminole,*
12123,Florida,Taylor,
12127,Florida,Volusia,
12129,Florida,Wakulla,
12131,Florida,Walton,
13025,Georgia,Brantley,*
13029,Georgia,Bryan,
13039,Georgia,Camden,
13049,Georgia,Charlton,*
13051,Georgia,Chatham,
13127,Georgia,Glynn,
13179,Georgia,Liberty,
13191,Georgia,McIntosh,
13305,Georgia,Wayne,*
15001,Hawaii,Hawaii,
15003,Hawaii,Honolulu,
15005,Hawaii,Kalawao,
15007,Hawaii,Kauai,
15009,Hawaii,Maui,
17031,Illinois,Cook,
17097,Illinois,Lake,
18089,Indiana,Lake,
18091,Indiana,Louisiana Porte,
18127,Indiana,Porter,
22019,Louisiana,Calcasieu,*
22023,Louisiana,Cameron,
22045,Louisiana,Iberia,
22051,Louisiana,Jefferson,
22057,Louisiana,Lafourche,
22063,Louisiana,Livingston,*
22071,Louisiana,Orleans,
22075,Louisiana,Plaquemines,
22087,Louisiana,St. Bernard,
22089,Louisiana,St. Charles,*
22093,Louisiana,St. James,*
22095,Louisiana,St. John the Baptist,*
22099,Louisiana,St. Martin,*
22101,Louisiana,St. Mary,
22103,Louisiana,St. Tammany,
22105,Louisiana,Tangipahoa,*
22109,Louisiana,Terrebonne,
22113,Louisiana,Vermilion,
23005,Maine,Cumberland,
23009,Maine,Hancock,
23013,Maine,Knox,
23015,Maine,Lincoln,
23023,Maine,Sagadahoc,
23027,Maine,Waldo,
23029,Maine,Washington,
23031,Maine,York,
24003,Maryland,Anne Arundel,
24005,Maryland,Baltimore,
24009,Maryland,Calvert,
24011,Maryland,Caroline,*
24015,Maryland,Cecil,
24017,Maryland,Charles,
24019,Maryland,Dorchester,
24025,Maryland,Harford,
24029,Maryland,Kent,
24033,Maryland,Prince George's,*
24035,Maryland,Queen Anne's,
24037,Maryland,St. Mary's,
24039,Maryland,Somerset,
24041,Maryland,Talbot,
24045,Maryland,Wicomico,
24047,Maryland,Worcester,
24510,Maryland,Baltimore (city),
25001,Massachusetts,Barnstable,
25005,Massachusetts,Bristol,
25007,Massachusetts,Dukes,
25009,Massachusetts,Essex,
25017,Massachusetts,Middlesex,*
25019,Massachusetts,Nantucket,
25021,Massachusetts,Norfolk,
25023,Massachusetts,Plymouth,
25025,Massachusetts,Suffolk,
